geography,bounds,xlat,xlon,day_count,source_rows,activity_sum,activity_mean_per_day,activity_min,activity_max
021230030202201313,"-122.32315063476562, 47.659837928509596, -122.32177734375, 47.660762874112834",47.66030,-122.32246,31,31,29.009295,0.935784,0.309169,1.373800
021230030221120133,"-122.20230102539062, 47.61727271567976, -122.200927734375, 47.61819841513311",47.61774,-122.20161,31,31,28.872449,0.931369,0.427962,1.292433
021230030220201102,"-122.3272705078125, 47.60431120244565, -122.32589721679688, 47.6052371313521",47.60477,-122.32658,31,31,28.756103,0.927616,0.414156,1.500470
021230021331113331,"-122.34512329101562, 47.62190104905555, -122.34375, 47.62282666656367",47.62236,-122.34444,31,31,28.730470,0.926789,0.407821,1.465883
021230030220021030,"-122.33001708984375, 47.61819841513311, -122.32864379882812, 47.619124098197325",47.61866,-122.32933,31,31,28.686310,0.925365,0.378311,1.445298
021230030220200113,"-122.33413696289062, 47.60431120244565, -122.332763671875, 47.6052371313521",47.60477,-122.33345,30,30,28.643234,0.954774,0.010469,1.535602
021230030220020332,"-122.33551025390625, 47.61356975397396, -122.33413696289062, 47.61449551898437",47.61403,-122.33482,31,31,28.631617,0.923601,0.223344,1.444627
021230030220022332,"-122.33551025390625, 47.60616304386873, -122.33413696289062, 47.60708893999558",47.60663,-122.33482,31,31,28.547232,0.920878,0.065163,1.764232
021230030202201333,"-122.32315063476562, 47.657987988142274, -122.32177734375, 47.658912966519445",47.65845,-122.32246,31,31,28.404013,0.916258,0.400038,1.333224
021230030202221133,"-122.32315063476562, 47.646886969412996, -122.32177734375, 47.647812144437914",47.64735,-122.32246,31,31,28.257393,0.911529,0.442335,1.253159
021230030220022302,"-122.3382568359375, 47.6080148197327, -122.33688354492188, 47.608940683080164",47.60848,-122.33757,31,31,28.136412,0.907626,0.540870,1.446741
021230030202203131,"-122.32315063476562, 47.65521295468833, -122.32177734375, 47.65613798222677",47.65568,-122.32246,31,31,28.124794,0.907251,0.477795,1.283824
021230030220022300,"-122.3382568359375, 47.608940683080164, -122.33688354492188, 47.60986653003798",47.60940,-122.33757,31,31,28.011582,0.903599,0.397551,1.395661
021230030220210222,"-122.32177734375, 47.59875528481801, -122.32040405273438, 47.59968131206439",47.59922,-122.32109,31,31,27.790449,0.896466,0.463995,1.260262
021230030220022320,"-122.3382568359375, 47.60708893999558, -122.33688354492188, 47.6080148197327",47.60755,-122.33757,31,31,27.771367,0.895851,0.365801,1.568110
